date,fut
2010/4/16,3415.6
2010/4/19,3197.4
2010/4/20,3214.6
2010/4/21,3267.2
2010/4/22,3236.2
2010/4/23,3221.2
2010/4/26,3219.6
2010/4/27,3138.8
2010/4/28,3129
2010/4/29,3083.8
2010/4/30,3107
2010/5/4,3076.4
2010/5/5,3076.4
2010/5/6,2967.4
2010/5/7,2897.6
2010/5/10,2918
2010/5/11,2801.6
2010/5/12,2836.2
2010/5/13,2894.6
2010/5/14,2862.6
2010/5/17,2719
2010/5/18,2779
2010/5/19,2763.4
2010/5/20,2735
2010/5/21,2749.8
2010/5/24,2902
2010/5/25,2813.2
2010/5/26,2839.6
2010/5/27,2901.4
2010/5/28,2865.2
2010/5/31,2792
2010/6/1,2762
2010/6/2,2776.4
2010/6/3,2748
2010/6/4,2761
2010/6/7,2706.2
2010/6/8,2724.4
2010/6/9,2788.8
2010/6/10,2769.6
2010/6/11,2765.8
2010/6/17,2744.2
2010/6/18,2716.8
2010/6/21,2804.8
2010/6/22,2797.6
2010/6/23,2765.2
2010/6/24,2771
2010/6/25,2753.8
2010/6/28,2741.6
2010/6/29,2600.4
2010/6/30,2579
2010/7/1,2545.2
2010/7/2,2546
2010/7/5,2530.6
2010/7/6,2564.6
2010/7/7,2568.4
2010/7/8,2569
2010/7/9,2650
2010/7/12,2660.6
2010/7/13,2626
2010/7/14,2647
2010/7/15,2604
2010/7/16,2596
2010/7/19,2697.6
2010/7/20,2746
2010/7/21,2744.4
2010/7/22,2784.4
2010/7/23,2783.6
2010/7/26,2796.8
2010/7/27,2778
2010/7/28,2887.4
2010/7/29,2876.8
2010/7/30,2871.4
2010/8/2,2926.4
2010/8/3,2856.8
2010/8/4,2873.8
2010/8/5,2846.4
2010/8/6,2920
2010/8/9,2913
2010/8/10,2837
2010/8/11,2839.4
2010/8/12,2826.8
2010/8/13,2855
2010/8/16,2927.6
2010/8/17,2947
2010/8/18,2945.8
2010/8/19,2964.8
2010/8/20,2911.6
2010/8/23,2905.6
2010/8/24,2914
2010/8/25,2856.4
2010/8/26,2865.8
2010/8/27,2872.6
2010/8/30,2930.2
2010/8/31,2910.4
2010/9/1,2890.2
2010/9/2,2929.2
2010/9/3,2933
2010/9/6,2992.2
2010/9/7,2996.6
2010/9/8,2995.2
2010/9/9,2947.6
2010/9/10,2940.6
2010/9/13,2967.4
2010/9/14,2966.8
2010/9/15,2920
2010/9/16,2867.6
2010/9/17,2866.2
2010/9/20,2873
2010/9/21,2871.4
2010/9/27,2904
2010/9/28,2891.4
2010/9/29,2894.2
2010/9/30,2953.4
2010/10/8,3054.2
2010/10/11,3137.6
2010/10/12,3154.6
2010/10/13,3206.8
2010/10/14,3230.8
2010/10/15,3310.6
2010/10/18,3329.4
2010/10/19,3423.8
2010/10/20,3458.2
2010/10/21,3448.8
2010/10/22,3465.4
2010/10/25,3606
2010/10/26,3558.2
2010/10/27,3488
2010/10/28,3513.8
2010/10/29,3420
2010/11/1,3555.2
2010/11/2,3500.4
