date,igp
2003年1月,927
2003年2月,888.01
2003年3月,1096.2
2003年4月,1120.4
2003年5月,1119.2
2003年6月,1227.7
2003年7月,1150.8
2003年8月,1181.1
2003年9月,1250.5
2003年10月,1268
2003年11月,1339.9
2003年12月,1467.8
2004年1月,1125.6
2004年2月,1275.9
2004年3月,1482.4
2004年4月,1513.9
2004年5月,1496.2
2004年6月,1598.8
2004年7月,1500.9
2004年8月,1554.9
2004年9月,1657.6
2004年10月,1676.3
2004年11月,1742.2
2004年12月,1896.7
2005年1月,1679.4
2005年2月,1523.2
2005年3月,1901.3
2005年4月,1978.9
2005年5月,2003.6
2005年6月,2184.9
2005年7月,2036.8
2005年8月,2092
2005年9月,2206.3
2005年10月,2221.3
2005年11月,2326.6
2005年12月,2544.6
2006年1月,1641.9
2006年2月,1978.7
2006年3月,2417.7
2006年4月,2488.1
2006年5月,2570.6
2006年6月,2853
2006年7月,2616.2
2006年8月,2670.5
2006年9月,2830
2006年10月,2791.7
2006年11月,2928.6
2006年12月,3159.7
2007年1月,2748.3
2007年2月,2381.1
2007年3月,3060.6
2007年4月,3158.5
2007年5月,3281
2007年6月,3690.9
2007年7月,3333
2007年8月,3389.8
2007年9月,3635.2
2007年10月,3586.9
2007年11月,3754.4
2007年12月,4053.2
2008年1月,3446.8
2008年2月,3036.5
2008年3月,3998.9
2008年4月,4070.9
2008年5月,4240.3
2008年6月,4765.5
2008年7月,4349.4
2008年8月,4335.7
2008年9月,4493.1
2008年10月,4167.7
2008年11月,4028.3
2008年12月,4244.3
2009年1月,3136.5
2009年2月,3285.3
2009年3月,4156.2
2009年4月,4173.5
2009年5月,4420.9
2009年6月,5021.7
2009年7月,4619.2
2009年8月,4737.3
2009年9月,5067
2009年10月,4960.2
2009年11月,5191.8
2009年12月,5576
2010年1月,4744.2
2010年2月,4135.7
2010年3月,5525.5
2010年4月,5619.1
2010年5月,5865.3
2010年6月,6341.1
2010年7月,5768.3
2010年8月,5947.7
2010年9月,6372.8
2010年10月,6288
2010年11月,6656.4
2010年12月,7155.2
2011年1月,5738.8
2011年2月,5151.7
2011年3月,6850.5
2011年4月,6789.1
2011年5月,7075.8
2011年6月,7871.6
2011年7月,7127.8
2011年8月,7290
2011年9月,7757.4
2011年10月,7510.7
2011年11月,7745.6
2011年12月,8217.3
