date,igp
200301,927
200302,888.01
200303,1096.2
200304,1120.4
200305,1119.2
200306,1227.7
200307,1150.8
200308,1181.1
200309,1250.5
200310,1268
200311,1339.9
200312,1467.8
200401,1125.6
200402,1275.9
200403,1482.4
200404,1513.9
200405,1496.2
200406,1598.8
200407,1500.9
200408,1554.9
200409,1657.6
200410,1676.3
200411,1742.2
200412,1896.7
200501,1679.4
200502,1523.2
200503,1901.3
200504,1978.9
200505,2003.6
200506,2184.9
200507,2036.8
200508,2092
200509,2206.3
200510,2221.3
200511,2326.6
200512,2544.6
200601,1641.9
200602,1978.7
200603,2417.7
200604,2488.1
200605,2570.6
200606,2853
200607,2616.2
200608,2670.5
200609,2830
200610,2791.7
200611,2928.6
200612,3159.7
200701,2748.3
200702,2381.1
200703,3060.6
200704,3158.5
200705,3281
200706,3690.9
200707,3333
200708,3389.8
200709,3635.2
200710,3586.9
200711,3754.4
200712,4053.2
200801,3446.8
200802,3036.5
200803,3998.9
200804,4070.9
200805,4240.3
200806,4765.5
200807,4349.4
200808,4335.7
200809,4493.1
200810,4167.7
200811,4028.3
200812,4244.3
200901,3136.5
200902,3285.3
200903,4156.2
200904,4173.5
200905,4420.9
200906,5021.7
200907,4619.2
200908,4737.3
200909,5067
200910,4960.2
200911,5191.8
200912,5576
201001,4744.2
201002,4135.7
201003,5525.5
201004,5619.1
201005,5865.3
201006,6341.1
201007,5768.3
201008,5947.7
201009,6372.8
201010,6288
201011,6656.4
201012,7155.2
201101,5738.8
201102,5151.7
201103,6850.5
201104,6789.1
201105,7075.8
201106,7871.6
201107,7127.8
201108,7290
201109,7757.4
201110,7510.7
201111,7745.6
201112,8217.3
201201,5894.4
201202,6585.3
201203,7833.6
201204,7431.2
201205,7644.7
