date,cpi
2003-01,101.00 
2003-02,100.90 
2003-03,99.40 
2003-04,99.20 
2003-05,99.30 
2003-06,98.20 
2003-07,99.50 
2003-08,100.90 
2003-09,101.80 
2003-10,101.60 
2003-11,101.20 
2003-12,99.90 
2004-01,100.90 
2004-02,99.80 
2004-03,100.10 
2004-04,100.10 
2004-05,100.00 
2004-06,99.20 
2004-07,99.40 
2004-08,100.30 
2004-09,101.50 
2004-10,99.70 
2004-11,99.60 
2004-12,100.10 
2005-01,100.40 
2005-02,101.60 
2005-03,99.10 
2005-04,100.20 
2005-05,99.90 
2005-06,99.00 
2005-07,99.70 
2005-08,99.80 
2005-09,101.10 
2005-10,101.10 
2005-11,99.70 
2005-12,100.30 
2006-01,101.60 
2006-02,99.40 
2006-04,100.10 
2006-05,99.80 
2006-06,99.10 
2006-07,99.30 
2006-08,100.30 
2006-09,101.80 
2006-10,100.10 
2006-11,100.10 
2006-12,101.50 
2007-01,100.40 
2007-02,100.70 
2007-03,100.00 
2007-04,100.10 
2007-05,100.50 
2007-06,100.40 
2007-07,100.70 
2007-08,100.90 
2007-09,100.70 
2007-10,100.80 
2007-11,100.30 
2007-12,101.60 
2008-01,101.50 
2008-02,101.90 
2008-03,99.40 
2008-04,100.30 
2008-05,99.50 
2008-06,99.20 
2008-07,99.90 
2008-08,100.20 
2008-09,100.40 
2008-10,100.10 
2008-11,99.10 
2008-12,100.00 
2009-01,101.20 
2009-02,100.20 
2009-03,100.10 
2009-04,99.90 
2009-05,100.10 
2009-06,99.00 
2009-07,99.70 
2009-08,100.00 
2009-09,100.80 
2009-10,100.00 
2009-11,100.60 
2009-12,101.10 
2010-01,100.50 
2010-02,101.60 
2010-03,99.30 
2010-04,100.50 
2010-05,99.90 
2010-06,99.10 
2010-07,100.40 
2010-08,100.80 
2010-09,100.90 
2010-10,100.50 
2010-11,101.50 
2010-12,100.30 
2011-01,100.70 
2011-02,101.40 
2011-03,100.20 
2011-04,100.00 
2011-05,100.00 
2011-06,100.30 
2011-07,100.20 
2011-08,100.40 
2011-09,101.20 
2011-10,100.00 
2011-11,99.90 
2011-12,100.40 
2012-01,101.10 
2012-02,100.00 
2012-03,100.40 
2012-04,99.80 
2012-05,99.70 
2012-06,99.22 
2012-07,99.94 
2012-08,100.40 
2012-09,100.96 
2012-10,99.92 
2012-11,100.31 
2012-12,100.69 
2013-01,101.04 
2013-02,101.40 
2013-03,98.90 
2013-04,100.52 
2013-05,99.41 
2013-06,99.84 
2013-07,99.75 
2013-08,100.28 
2013-09,101.34 
2013-10,100.16 
2013-11,99.87 
2013-12,100.08 
2014-01,101.11 
2014-02,100.73 
2014-03,99.33 
2014-04,99.51 
2014-05,100.02 
2014-06,99.59 
2014-07,99.95 
2014-08,100.15 
2014-09,100.69 
2014-10,99.85 
2014-11,99.70 
2014-12,100.33 
